"sofifa_id","player_url","short_name","long_name","player_positions","overall","potential","value_eur","wage_eur","age","dob","height_cm","weight_kg","club_team_id","club_name","league_name","league_level","club_position","club_jersey_number","club_loaned_from","club_joined","club_contract_valid_until","nationality_id","nationality_name","nation_team_id","nation_position","nation_jersey_number","preferred_foot","weak_foot","skill_moves","international_reputation","work_rate","body_type","real_face","release_clause_eur","player_tags","player_traits","pace","shooting","passing","dribbling","defending","physic","attacking_crossing","attacking_finishing","attacking_heading_accuracy","attacking_short_passing","attacking_volleys","skill_dribbling","skill_curve","skill_fk_accuracy","skill_long_passing","skill_ball_control","movement_acceleration","movement_sprint_speed","movement_agility","movement_reactions","movement_balance","power_shot_power","power_jumping","power_stamina","power_strength","power_long_shots","mentality_aggression","mentality_interceptions","mentality_positioning","mentality_vision","mentality_penalties","mentality_composure","defending_marking_awareness","defending_standing_tackle","defending_sliding_tackle","goalkeeping_diving","goalkeeping_handling","goalkeeping_kicking","goalkeeping_positioning","goalkeeping_reflexes","goalkeeping_speed","ls","st","rs","lw","lf","cf","rf","rw","lam","cam","ram","lm","lcm","cm","rcm","rm","lwb","ldm","cdm","rdm","rwb","lb","lcb","cb","rcb","rb","gk","player_face_url","club_logo_url","club_flag_url","nation_logo_url","nation_flag_url"
"184190","https://sofifa.com/player/184190/romain-thomas/220002","R. Thomas","Romain Thomas","CB","76","76","3600000.0","21000.0","33","1988-06-12","193","84","1530.0","Angers SCO","French Ligue 1","1.0","LCB","24.0","","2013-07-01","2022.0","18","France","","","","Left","3","2","2","Medium/High","Lean (185+)","No","7200000.0","","Leadership, Long Passer (AI), Power Header, Team Player","35.0","33.0","54.0","48.0","78.0","73.0","42","22","79","69","18","31","39","34","68","68","35","35","44","71","46","64","69","48","85","28","76","76","28","37","55","73","78","79","76","13","7","11","14","10","","49+2","49+2","49+2","43.0","46","46","46","43.0","47+2","47+2","47+2","47+2","57+2","57+2","57+2","47+2","62+2","71+2","71+2","71+2","62+2","65+2","76","76","76","65+2","18+2","https://cdn.sofifa.net/players/184/190/22_120.png","https://cdn.sofifa.net/teams/1530/60.png","https://cdn.sofifa.net/flags/fr.png","","https://cdn.sofifa.net/flags/fr.png"
"254902","https://sofifa.com/player/254902/keiya-sento/220002","K. Sento","仙頭 啓矢","CM","65","66","825000.0","1000.0","26","1994-12-29","170","62","113160.0","Sagan Tosu","Japanese J. League Division 1","1.0","LCM","44.0","","2021-01-09","2022.0","163","Japan","","","","Right","4","3","1","High/Medium","Normal (170-)","No","1100000.0","","","62.0","63.0","67.0","65.0","53.0","53.0","65","62","44","68","59","63","62","60","67","64","66","59","72","61","82","66","67","65","45","67","53","56","63","68","56","66","52","56","50","10","10","8","13","6","","60+2","60+2","60+2","64.0","64","64","64","64.0","65+1","65+1","65+1","64+2","65+1","65+1","65+1","64+2","60+2","60+2","60+2","60+2","60+2","58+2","54+2","54+2","54+2","58+2","15+2","https://cdn.sofifa.net/players/254/902/22_120.png","https://cdn.sofifa.net/teams/113160/60.png","https://cdn.sofifa.net/flags/jp.png","","https://cdn.sofifa.net/flags/jp.png"
"230292","https://sofifa.com/player/230292/elton-matheus-bessa-acuna/220002","Eltildo Bessa","Elton Matheus Bessa Acuna","ST, CF, LW","70","70","1800000.0","9000.0","25","1996-02-29","165","62","111052.0","Fortaleza","Campeonato Brasileiro Série A","1.0","SUB","11.0","","2021-06-30","2024.0","54","Brazil","","","","Left","3","3","1","High/Low","Lean (170-)","No","3400000.0","","Flair, Technical Dribbler (AI)","86.0","68.0","56.0","76.0","31.0","44.0","40","71","61","61","75","73","76","64","43","75","85","87","87","78","87","62","69","70","30","63","42","26","77","65","59","79","30","25","29","12","9","11","12","8","","70","70","70","","72-2","72-2","72-2","","70","70","70","69+1","62+2","62+2","62+2","69+1","52+2","47+2","47+2","47+2","52+2","50+2","41+2","41+2","41+2","50+2","18+2","https://cdn.sofifa.net/players/230/292/22_120.png","https://cdn.sofifa.net/teams/111052/60.png","https://cdn.sofifa.net/flags/br.png","","https://cdn.sofifa.net/flags/br.png"
"255633","https://sofifa.com/player/255633/nikos-christogeorgos/220002","N. Christogeorgos","Nikos Christogeorgos","GK","60","70","475000.0","500.0","21","2000-01-18","190","74","1884.0","Panathinaikos FC","Greek Super League","1.0","RES","68.0","","2018-07-01","2024.0","22","Greece","","","","Right","2","1","1","Medium/Medium","Normal (185+)","No","1100000.0","","","","","","","","","10","7","11","34","8","8","10","11","35","11","24","30","52","46","21","38","62","19","54","9","24","10","5","40","16","34","9","10","13","64","65","50","48","66","26.0","19+2","19+2","19+2","19.0","20","20","20","19.0","23+2","23+2","23+2","20+2","24+2","24+2","24+2","20+2","18+2","23+2","23+2","23+2","18+2","18+2","21+2","21+2","21+2","18+2","59+2","https://cdn.sofifa.net/players/255/633/22_120.png","https://cdn.sofifa.net/teams/1884/60.png","https://cdn.sofifa.net/flags/gr.png","","https://cdn.sofifa.net/flags/gr.png"
"204863","https://sofifa.com/player/204863/ivan-sanchez-aguayo/220002","Iván Sánchez","Iván Sánchez Aguayo","RM, LM, CM","73","73","3100000.0","20000.0","28","1992-09-23","171","64","88.0","Birmingham City","English League Championship","2.0","SUB","17.0","","2020-08-27","2023.0","45","Spain","","","","Left","3","3","1","High/Medium","Normal (170-185)","No","5900000.0","#Speedster","Technical Dribbler (AI)","91.0","64.0","68.0","75.0","34.0","52.0","71","68","40","68","47","74","72","69","60","74","92","90","85","60","85","60","80","82","33","65","55","17","65","68","65","71","57","22","25","14","8","12","9","8","","64+2","64+2","64+2","73.0","70","70","70","73.0","71+2","71+2","71+2","72+1","63+2","63+2","63+2","72+1","57+2","50+2","50+2","50+2","57+2","53+2","41+2","41+2","41+2","53+2","15+2","https://cdn.sofifa.net/players/204/863/22_120.png","https://cdn.sofifa.net/teams/88/60.png","https://cdn.sofifa.net/flags/gb-eng.png","","https://cdn.sofifa.net/flags/es.png"
"237252","https://sofifa.com/player/237252/jakob-nerwinski/220002","J. Nerwinski","Jakob Nerwinski","RB","66","66","850000.0","2000.0","26","1994-10-16","183","79","101112.0","Vancouver Whitecaps FC","USA Major League Soccer","1.0","SUB","28.0","","2017-01-01","2022.0","95","United States","","","","Right","2","2","1","Medium/High","Normal (170-185)","Yes","1200000.0","","Solid Player","78.0","31.0","56.0","58.0","64.0","72.0","59","24","54","59","21","60","56","18","57","54","76","80","68","60","58","45","80","75","75","29","60","66","47","56","32","47","65","64","62","14","12","12","11","7","","50+2","50+2","50+2","55.0","53","53","53","55.0","55+2","55+2","55+2","58+2","57+2","57+2","57+2","58+2","64+2","62+2","62+2","62+2","64+2","64+2","64+2","64+2","64+2","64+2","16+2","https://cdn.sofifa.net/players/237/252/22_120.png","https://cdn.sofifa.net/teams/101112/60.png","https://cdn.sofifa.net/flags/us.png","","https://cdn.sofifa.net/flags/us.png"
"237152","https://sofifa.com/player/237152/daleho-irandust/220002","D. Irandust","Daleho Irandust","CAM, RM","69","73","2000000.0","5000.0","23","1998-06-04","185","73","1915.0","FC Groningen","Holland Eredivisie","1.0","SUB","10.0","","2021-08-31","2026.0","46","Sweden","","","","Left","3","3","1","High/Medium","Lean (185+)","No","3100000.0","","Long Shot Taker (AI), Playmaker (AI)","74.0","60.0","66.0","70.0","41.0","64.0","62","63","39","68","50","70","66","47","67","72","76","73","71","65","69","57","56","71","68","57","45","41","69","71","64","68","40","44","39","15","13","10","5","7","","63+2","63+2","63+2","68.0","68","68","68","68.0","69+2","69+2","69+2","69+2","66+2","66+2","66+2","69+2","58+2","57+2","57+2","57+2","58+2","55+2","49+2","49+2","49+2","55+2","16+2","https://cdn.sofifa.net/players/237/152/22_120.png","https://cdn.sofifa.net/teams/1915/60.png","https://cdn.sofifa.net/flags/nl.png","","https://cdn.sofifa.net/flags/se.png"
"230343","https://sofifa.com/player/230343/jonaldo-kaua-monteiro-moura/220002","Jonaldo Monteiro","Jonaldo Kauã Monteiro Moura","LB, LWB, LM","70","70","1700000.0","5000.0","21","2000-02-29","179","74","111052.0","Fortaleza","Campeonato Brasileiro Série A","1.0","LM","21.0","","2021-06-30","2024.0","54","Brazil","","","","Left","3","2","1","Medium/Medium","Lean (170-185)","No","3200000.0","","Outside Foot Shot","74.0","51.0","66.0","61.0","64.0","71.0","66","51","61","71","53","55","54","55","67","61","75","74","71","72","73","52","56","81","67","45","71","63","55","61","61","62","64","66","65","14","16","12","13","15","","59+2","59+2","59+2","62.0","60","60","60","62.0","62+2","62+2","62+2","64+2","64+2","64+2","64+2","64+2","68+2","67+2","67+2","67+2","68+2","68+2","65+2","65+2","65+2","68+2","21+2","https://cdn.sofifa.net/players/230/343/22_120.png","https://cdn.sofifa.net/teams/111052/60.png","https://cdn.sofifa.net/flags/br.png","","https://cdn.sofifa.net/flags/br.png"
"211591","https://sofifa.com/player/211591/moussa-dembele/220002","M. Dembélé","Moussa Dembélé","ST","78","82","20500000.0","57000.0","24","1996-07-12","183","79","66.0","Olympique Lyonnais","French Ligue 1","1.0","ST","9.0","","2018-08-31","2023.0","18","France","","","","Right","3","3","2","Medium/Low","Normal (170-185)","Yes","40500000.0","","Flair","78.0","77.0","63.0","73.0","30.0","82.0","50","80","81","72","72","73","69","58","48","74","75","81","74","78","66","82","86","79","85","66","75","22","82","69","76","76","39","14","16","7","13","11","10","8","","78+2","78+2","78+2","73.0","76","76","76","73.0","73+2","73+2","73+2","72+2","65+2","65+2","65+2","72+2","52+2","51+2","51+2","51+2","52+2","49+2","49+2","49+2","49+2","49+2","17+2","https://cdn.sofifa.net/players/211/591/22_120.png","https://cdn.sofifa.net/teams/66/60.png","https://cdn.sofifa.net/flags/fr.png","","https://cdn.sofifa.net/flags/fr.png"
"250754","https://sofifa.com/player/250754/nick-shinton/220002","N. Shinton","Nick Shinton","GK","63","77","1000000.0","2000.0","20","2001-05-10","194","78","231.0","Club Brugge KV","Belgian Jupiler Pro League","1.0","RES","33.0","","2018-07-01","2023.0","7","Belgium","","","","Left","3","1","1","Medium/Medium","Normal (185+)","No","2000000.0","","","","","","","","","11","7","13","24","6","13","11","13","28","14","33","18","28","54","29","44","33","26","62","7","22","10","8","33","12","33","7","11","12","67","62","59","56","68","27.0","21+2","21+2","21+2","19.0","21","21","21","19.0","21+2","21+2","21+2","21+2","23+2","23+2","23+2","21+2","19+2","22+2","22+2","22+2","19+2","18+2","20+2","20+2","20+2","18+2","62+2","https://cdn.sofifa.net/players/250/754/22_120.png","https://cdn.sofifa.net/teams/231/60.png","https://cdn.sofifa.net/flags/be.png","","https://cdn.sofifa.net/flags/be.png"
